NAME,year,category,category_count,total_count,proportion
Central America/Mexico [CAM:6],2023,high,3909444,33526361,0.11660806253324063
Central America/Mexico [CAM:6],2023,low,13877564,33526361,0.41392992218869207
Central America/Mexico [CAM:6],2023,medium,15739353,33526361,0.4694620152780673
Central America/Mexico [CAM:6],2024,high,4011275,33526361,0.1196454038062765
Central America/Mexico [CAM:6],2024,low,13370297,33526361,0.3987995297193155
Central America/Mexico [CAM:6],2024,medium,16144789,33526361,0.481555066474408
Central Asia [CAS:20],1999,high,3456917,41171798,0.08396322647847441
Central Asia [CAS:20],1999,low,26989788,41171798,0.6555406688821314
Central Asia [CAS:20],1999,medium,10725093,41171798,0.26049610463939415
Central Asia [CAS:20],2000,high,2717471,41171798,0.06600321414187449
Central Asia [CAS:20],2000,low,27890257,41171798,0.6774116835995357
Central Asia [CAS:20],2000,medium,10564070,41171798,0.2565851022585897
Central Asia [CAS:20],2001,high,2662382,41171798,0.06466518659204536
Central Asia [CAS:20],2001,low,28610493,41171798,0.6949051144183696
Central Asia [CAS:20],2001,medium,9898923,41171798,0.24042969898958505
Central Asia [CAS:20],2022,high,3849308,41171798,0.09349380369543249
Central Asia [CAS:20],2022,low,27011063,41171798,0.656057406091422
Central Asia [CAS:20],2022,medium,10311427,41171798,0.2504487902131454
Central Asia [CAS:20],2023,high,3879206,41171798,0.09421998038560278
Central Asia [CAS:20],2023,low,26867387,41171798,0.6525677358078945
Central Asia [CAS:20],2023,medium,10425205,41171798,0.2532122838065027
Central Asia [CAS:20],2024,high,4003029,41171798,0.09722745166485078
Central Asia [CAS:20],2024,low,26125454,41171798,0.6345473180452309
Central Asia [CAS:20],2024,medium,11043315,41171798,0.26822523028991835
Central Europe [CEU:12],1999,high,14426504,59780716,0.24132370712990456
Central Europe [CEU:12],1999,low,13184652,59780716,0.2205502523589714
Central Europe [CEU:12],1999,medium,32169560,59780716,0.538126040511124
Central Europe [CEU:12],2000,high,12791186,59780716,0.21396843088998801
Central Europe [CEU:12],2000,low,14102962,59780716,0.23591156051058337
Central Europe [CEU:12],2000,medium,32886568,59780716,0.5501200085994287
Central Europe [CEU:12],2001,high,12262546,59780716,0.20512544546973976
Central Europe [CEU:12],2001,low,15029453,59780716,0.25140971881300317
Central Europe [CEU:12],2001,medium,32488717,59780716,0.543464835717257
Central Europe [CEU:12],2022,high,15896219,59780716,0.2659088091216572
Central Europe [CEU:12],2022,low,12352469,59780716,0.2066296596380679
Central Europe [CEU:12],2022,medium,31532028,59780716,0.5274615312402748
Central Europe [CEU:12],2023,high,15249521,59780716,0.2550909728147117
Central Europe [CEU:12],2023,low,13681470,59780716,0.22886092565368404
Central Europe [CEU:12],2023,medium,30849725,59780716,0.5160481015316043
Central Europe [CEU:12],2024,high,15071177,59780716,0.2521076696371452
Central Europe [CEU:12],2024,low,13631358,59780716,0.22802266202365323
Central Europe [CEU:12],2024,medium,31078181,59780716,0.5198696683392016
Central North America [CNA:4],1999,high,9749505,55423037,0.1759106957635685
Central North America [CNA:4],1999,low,10093955,55423037,0.18212562043469396
Central North America [CNA:4],1999,medium,35579577,55423037,0.6419636838017375
Central North America [CNA:4],2000,high,9417733,55423037,0.16992452073674708
Central North America [CNA:4],2000,low,10489429,55423037,0.1892611731111018
Central North America [CNA:4],2000,medium,35515875,55423037,0.6408143061521512
Central North America [CNA:4],2001,high,9878523,55423037,0.1782385725271605
Central North America [CNA:4],2001,low,10582964,55423037,0.19094882873343805
Central North America [CNA:4],2001,medium,34961550,55423037,0.6308125987394014
Central North America [CNA:4],2022,high,13291212,55423037,0.23981385213516898
Central North America [CNA:4],2022,low,9404740,55423037,0.16969008753526083
Central North America [CNA:4],2022,medium,32727085,55423037,0.5904960603295701
Central North America [CNA:4],2023,high,11789915,55423037,0.2127258923035921
Central North America [CNA:4],2023,low,9437945,55423037,0.1702892066344181
Central North America [CNA:4],2023,medium,34195177,55423037,0.6169849010619898
Central North America [CNA:4],2024,high,11685264,55423037,0.21083767026335998
Central North America [CNA:4],2024,low,10606659,55423037,0.19137635853480928
Central North America [CNA:4],2024,medium,33131114,55423037,0.5977859712018307
East Africa [EAF:16],1999,high,832748,69039011,0.012061992023611115
East Africa [EAF:16],1999,low,47935887,69039011,0.6943304416686965
East Africa [EAF:16],1999,medium,20270376,69039011,0.2936075663076923
East Africa [EAF:16],2000,high,809908,69039011,0.01173116457302669
East Africa [EAF:16],2000,low,47871028,69039011,0.6933909873071618
East Africa [EAF:16],2000,medium,20358075,69039011,0.29487784811981155
East Africa [EAF:16],2001,high,715924,69039011,0.01036984727373919
East Africa [EAF:16],2001,low,48072850,69039011,0.6963142910607454
East Africa [EAF:16],2001,medium,20250237,69039011,0.29331586166551543
East Africa [EAF:16],2022,high,1732469,69039011,0.025094058777869806
East Africa [EAF:16],2022,low,45571184,69039011,0.6600787488105819
East Africa [EAF:16],2022,medium,21735358,69039011,0.31482719241154833
East Africa [EAF:16],2023,high,2104713,69039011,0.030485850963305368
East Africa [EAF:16],2023,low,40749688,69039011,0.5902414795600128
East Africa [EAF:16],2023,medium,26184610,69039011,0.3792726694766818
East Africa [EAF:16],2024,high,2004046,69039011,0.029027733320223837
East Africa [EAF:16],2024,low,42771891,69039011,0.6195322091157998
East Africa [EAF:16],2024,medium,24263074,69039011,0.3514400575639764
East Asia [EAS:22],1999,high,15433561,111131038,0.13887714249551056
East Asia [EAS:22],1999,low,51944870,111131038,0.4674200019620081
East Asia [EAS:22],1999,medium,43752607,111131038,0.3937028555424813
East Asia [EAS:22],2000,high,14432068,111131038,0.12986532169347684
East Asia [EAS:22],2000,low,52694560,111131038,0.47416600212084764
East Asia [EAS:22],2000,medium,44004410,111131038,0.3959686761856755
East Asia [EAS:22],2001,high,13670681,111131038,0.12301406741112235
East Asia [EAS:22],2001,low,53003158,111131038,0.47694288610891944
East Asia [EAS:22],2001,medium,44457199,111131038,0.4000430464799582
East Asia [EAS:22],2022,high,30728225,111131038,0.2765044361414135
East Asia [EAS:22],2022,low,42469944,111131038,0.3821609584893826
East Asia [EAS:22],2022,medium,37932869,111131038,0.3413346053692039
East Asia [EAS:22],2023,high,30152097,111131038,0.2713202138902005
East Asia [EAS:22],2023,low,42600149,111131038,0.38333259336604053
East Asia [EAS:22],2023,medium,38378792,111131038,0.34534719274375897
