value,count,year
16,665366,2008
17,696493,2008
18,737408,2008
19,791323,2008
20,852390,2008
21,921605,2008
22,1002941,2008
23,1116195,2008
24,1277267,2008
25,1473518,2008
26,1645929,2008
27,1759214,2008
28,1811567,2008
29,1808339,2008
30,1768908,2008
31,1705893,2008
32,1616748,2008
33,1508648,2008
34,1389321,2008
35,1271651,2008
36,1166304,2008
37,1060859,2008
38,952489,2008
39,846666,2008
40,748374,2008
41,664859,2008
42,590159,2008
43,525375,2008
44,467647,2008
45,418722,2008
46,373938,2008
47,337572,2008
48,309022,2008
49,285937,2008
50,265756,2008
51,243351,2008
52,223446,2008
53,204233,2008
54,184001,2008
55,165852,2008
56,150358,2008
57,138606,2008
58,129754,2008
59,121820,2008
60,114221,2008
61,108450,2008
62,102273,2008
63,96699,2008
64,92065,2008
65,87650,2008
66,83387,2008
67,80329,2008
68,77916,2008
69,76118,2008
70,75699,2008
71,74549,2008
72,73583,2008
73,72747,2008
74,71344,2008
75,70116,2008
76,67864,2008
77,66338,2008
78,62079,2008
79,58487,2008
80,52673,2008
81,46503,2008
82,39677,2008
83,32261,2008
84,25100,2008
85,17969,2008
86,12138,2008
87,7228,2008
88,3894,2008
89,1907,2008
90,668,2008
91,206,2008
92,27,2008
93,6,2008
94,1,2008
0,959671,2009
1,357623,2009
2,248246,2009
3,397768,2009
4,969563,2009
5,1508040,2009
6,1526462,2009
7,1310921,2009
8,1100391,2009
9,944164,2009
10,840687,2009
11,762675,2009
12,708505,2009
13,674750,2009
14,655003,2009
15,651989,2009
16,665461,2009
17,691635,2009
18,733516,2009
19,786391,2009
20,847622,2009
21,913249,2009
22,995718,2009
23,1112324,2009
24,1272216,2009
25,1459965,2009
26,1620658,2009
27,1720564,2009
28,1762593,2009
29,1757862,2009
30,1722240,2009
31,1659460,2009
32,1580656,2009
33,1482255,2009
34,1371855,2009
35,1263331,2009
36,1160212,2009
37,1060538,2009
38,957173,2009
39,854361,2009
40,760092,2009
41,677051,2009
42,602658,2009
43,536032,2009
44,478284,2009
45,428892,2009
46,385871,2009
47,346841,2009
48,318568,2009
49,295845,2009
50,273047,2009
51,249483,2009
52,228219,2009
53,208103,2009
54,188137,2009
55,169160,2009
56,154064,2009
57,142730,2009
58,132063,2009
59,124212,2009
60,117081,2009
61,110608,2009
62,104002,2009
63,98078,2009
64,93292,2009
65,87816,2009
66,84161,2009
67,80338,2009
68,77743,2009
69,75649,2009
70,74435,2009
71,73325,2009
72,72462,2009
73,70992,2009
74,70494,2009
75,68725,2009
76,66996,2009
77,64691,2009
78,61306,2009
79,56925,2009
80,51520,2009
81,45366,2009
82,38340,2009
83,31074,2009
84,23635,2009
85,17120,2009
86,11378,2009
87,6749,2009
88,3660,2009
89,1710,2009
90,639,2009
91,170,2009
92,31,2009
93,4,2009
0,969339,2010
1,362603,2010
2,241329,2010
3,371531,2010
4,896540,2010
5,1435012,2010
6,1531716,2010
7,1369833,2010
8,1174899,2010
9,1011571,2010
10,892513,2010
11,807727,2010
12,746272,2010
13,707465,2010
14,682678,2010
15,679678,2010
16,690750,2010
17,721522,2010
18,764342,2010
